yORF,gene name,GFP tagged,GFP visualized?,TAP visualized?,abundance,error,localization summary
YBR196C,PGI1,tagged,visualized,TAP visualized,91600,34200.0,cytoplasm
YBR197C,,tagged,visualized,TAP visualized,1360,,"cytoplasm,nucleus"
YBR198C,TAF5,tagged,visualized,TAP visualized,14800,203.0,nucleus
YBR199W,KTR4,tagged,visualized,TAP visualized,5240,,vacuole
YBR200W,BEM1,tagged,visualized,TAP visualized,6490,,"ambiguous,bud neck,cell periphery,bud"
YBR202W,CDC47,tagged,visualized,TAP visualized,166,,"cytoplasm,nucleus"
YBR205W,KTR3,tagged,visualized,TAP visualized,704,,vacuole
YBR207W,FTH1,tagged,visualized,TAP visualized,486,,vacuolar membrane
YBR208C,"DUR1,2",tagged,visualized,TAP visualized,952,,cytoplasm
YBR211C,AME1,tagged,visualized,TAP visualized,1630,,spindle pole
YBR212W,NGR1,tagged,visualized,TAP visualized,1540,,cytoplasm
YBR214W,SDS24,tagged,visualized,TAP visualized,2840,,cytoplasm
YBR215W,HPC2,tagged,visualized,TAP visualized,238,,nucleus
YBR216C,YBP1,tagged,visualized,TAP visualized,3060,,cytoplasm
YBR218C,PYC2,tagged,visualized,TAP visualized,17000,,cytoplasm
YBR221C,PDB1,tagged,visualized,TAP visualized,9970,,mitochondrion
YBR222C,PCS60,tagged,visualized,TAP visualized,8770,,cytoplasm
YBR223C,TDP1,tagged,visualized,TAP visualized,2130,,"cytoplasm,nucleus"
YBR225W,,tagged,visualized,TAP visualized,623,,ambiguous
YBR227C,MCX1,tagged,visualized,TAP visualized,10900,,mitochondrion
YBR230C,,tagged,visualized,TAP visualized,4750,,mitochondrion
YBR231C,AOR1,tagged,visualized,TAP visualized,1680,,nucleus
YBR233W,PBP2,tagged,visualized,TAP visualized,1590,,cytoplasm
YBR233W-A,DAD3,tagged,visualized,TAP visualized,468,,spindle pole
YBR234C,ARC40,tagged,visualized,TAP visualized,technical problem,,actin
YBR235W,,tagged,visualized,TAP visualized,low signal,,ambiguous
YBR236C,ABD1,tagged,visualized,not TAP visualized,not visualized,,nucleus
YBR237W,PRP5,tagged,visualized,TAP visualized,358,,nucleus
YBR238C,,tagged,visualized,TAP visualized,2080,,"cytoplasm,mitochondrion"
YBR239C,,tagged,visualized,TAP visualized,85.5,,"cytoplasm,nucleus"
YBR241C,,tagged,visualized,TAP visualized,technical problem,,vacuolar membrane
YBR242W,,tagged,visualized,TAP visualized,2730,,"cytoplasm,nucleus"
YBR244W,GPX2,tagged,visualized,TAP visualized,2010,,"cytoplasm,nucleus"
YBR245C,ISW1,tagged,visualized,TAP visualized,1500,,nucleus
YBR247C,ENP1,tagged,visualized,TAP visualized,21600,2960.0,"cytoplasm,nucleolus,nucleus"
YBR248C,HIS7,tagged,visualized,TAP visualized,11800,,"cytoplasm,nucleus"
YBR249C,ARO4,tagged,visualized,TAP visualized,26300,,"cytoplasm,nucleus"
YBR251W,MRPS5,tagged,visualized,TAP visualized,6680,,mitochondrion
YBR252W,DUT1,tagged,visualized,TAP visualized,4340,,"cytoplasm,nucleus"
YBR253W,SRB6,tagged,visualized,TAP visualized,2180,,nucleus
YBR254C,TRS20,tagged,visualized,TAP visualized,1200,,late Golgi
YBR255W,,tagged,visualized,TAP visualized,396,,punctate composite
YBR256C,RIB5,tagged,visualized,TAP visualized,7300,,ambiguous
YBR258C,SHG1,tagged,visualized,TAP visualized,1520,,nucleus
YBR259W,,tagged,visualized,TAP visualized,low signal,,ambiguous
YBR260C,RGD1,tagged,visualized,TAP visualized,1500,,"ambiguous,bud neck,cytoplasm,bud"
YBR261C,,tagged,visualized,TAP visualized,3060,,cytoplasm
YBR262C,,tagged,visualized,TAP visualized,2550,,mitochondrion
YBR263W,SHM1,tagged,visualized,TAP visualized,17700,,mitochondrion
YBR264C,YPT10,tagged,visualized,TAP visualized,1360,,cytoplasm
YBR265W,TSC10,tagged,visualized,TAP visualized,7700,,ER
YBR267W,,tagged,visualized,TAP visualized,830,,cytoplasm
YBR268W,MRPL37,tagged,visualized,TAP visualized,1100,,mitochondrion
YBR269C,,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YBR271W,,tagged,visualized,TAP visualized,217,,cytoplasm
YBR272C,HSM3,tagged,visualized,TAP visualized,468,,cytoplasm
YBR273C,,tagged,visualized,TAP visualized,2190,,ER
YBR274W,CHK1,tagged,visualized,TAP visualized,2530,,cytoplasm
YBR275C,RIF1,tagged,visualized,TAP visualized,low signal,,nucleus
YBR278W,DPB3,tagged,visualized,TAP visualized,784,,"cytoplasm,nucleus"
YBR279W,PAF1,tagged,visualized,TAP visualized,1040,,nucleus
YBR281C,,tagged,visualized,TAP visualized,1940,,"cytoplasm,nucleus"
YBR282W,MRPL27,tagged,visualized,TAP visualized,2250,,mitochondrion
YBR283C,SSH1,tagged,visualized,TAP visualized,704,,ER
YBR286W,APE3,tagged,visualized,TAP visualized,4740,,ambiguous
YBR287W,,tagged,visualized,TAP visualized,6440,,ER
YBR288C,APM3,tagged,visualized,TAP visualized,3410,,"punctate composite,early Golgi"
YBR289W,SNF5,tagged,visualized,TAP visualized,217,,nucleus
YBR290W,BSD2,tagged,visualized,TAP visualized,3070,,"ER,vacuole"
YBR291C,CTP1,tagged,visualized,not TAP visualized,not visualized,,mitochondrion
YBR296C,PHO89,tagged,visualized,not TAP visualized,not visualized,,ER
YBR302C,COS2,tagged,visualized,TAP visualized,low signal,,vacuole
YCL001W,RER1,tagged,visualized,TAP visualized,2840,,punctate composite
YCL005W,,tagged,visualized,TAP visualized,149,,lipid particle
YCL009C,ILV6,tagged,visualized,TAP visualized,15800,,mitochondrion
YCL010C,SGF29,tagged,visualized,TAP visualized,1750,,nucleus
YCL011C,GBP2,tagged,visualized,TAP visualized,2540,,nucleus
YCL014W,BUD3,tagged,visualized,TAP visualized,technical problem,,bud neck
YCL016C,DCC1,tagged,visualized,TAP visualized,1660,,nucleus
YCL017C,NFS1,tagged,visualized,TAP visualized,504,,mitochondrion
YCL024W,KCC4,tagged,visualized,TAP visualized,538,,"ambiguous,bud neck,cell periphery,bud"
YCL025C,AGP1,tagged,visualized,TAP visualized,21100,,ER
